CSsig	SBSsig	Spearman	pVal	pAdj
CX5	SBS4	0.08532	0.000198	0.000604421052631579
CX5	SBS5	-0.1424	4.653e-10	2.9986e-09
CX5	SBS6	0.06701	0.003493	0.00810376
CX5	SBS7a	0.04998	0.02944	0.0550812903225806
CX5	SBS7b	0.05853	0.01075	0.0230925925925926
CX5	SBS7c	0.03667	0.1102	0.171620512820513
CX5	SBS8	-0.05337	0.02006	0.04012
CX5	SBS9	-0.2097	2.66e-20	7.714e-19
CX5	SBS10a	-0.03617	0.1152	0.171620512820513
CX5	SBS11	0.02119	0.3562	0.449121739130435
CX5	SBS12	-0.1499	5.251e-11	5.07596666666667e-10
CX5	SBS13	0.2895	5.906e-38	3.42548e-36
CX5	SBS14	-0.03077	0.1802	0.26129
CX5	SBS15	-0.0272	0.2363	0.311486363636364
CX5	SBS16	-0.04882	0.03343	0.060591875
CX5	SBS17a	-0.08309	0.0002902	0.000801504761904762
CX5	SBS17b	0.08602	0.0001753	0.000564855555555556
CX5	SBS18	-0.03837	0.09468	0.166407272727273
CX5	SBS19	-0.138	1.562e-09	8.236e-09
CX5	SBS21	-0.01559	0.4974	0.601025
CX5	SBS22	-0.0285	0.2146	0.289460465116279
CX5	SBS26	-0.01856	0.4189	0.516940425531915
CX5	SBS28	0.05762	0.01206	0.0249814285714286
CX5	SBS30	-0.1416	5.786e-10	3.35588e-09
CX5	SBS33	0.05197	0.02356	0.0455493333333333
CX5	SBS35	-0.1034	6.383e-06	2.46809333333333e-05
CX5	SBS36	0.08466	0.0002219	0.00064351
CX5	SBS37	-0.1128	8.384e-07	3.74055384615385e-06
CX5	SBS38	0.09826	1.8e-05	6.14117647058824e-05
CX5	SBS39	0.1726	3.75e-14	5.4375e-13
CX5	SBS40	-0.1433	3.562e-10	2.58245e-09
CX5	SBS60	NA	NA	NA
CX5	SBS55	0.07268	0.001531	0.00386078260869565
CX5	SBS44	-0.01296	0.5727	0.667
CX5	SBS61	-0.03616	0.1153	0.171620512820513
CX5	SBS62	-0.03617	0.1152	0.171620512820513
CX5	SBS63	-0.02919	0.2037	0.2813
CX5	SBS64	0.008764	0.7028	0.741134545454545
CX5	SBS65	0.06762	0.003207	0.00775025
CX5	SBS66	-0.03614	0.1154	0.171620512820513
CX5	SBS67	0.01127	0.6236	0.682430188679245
CX5	SBS68	-0.1374	1.83e-09	8.845e-09
CX5	SBS69	0.2011	8.93e-19	1.72646666666667e-17
CX5	SBS70	-0.1461	1.593e-10	1.31991428571429e-09
CX5	SBS71	0.1046	4.972e-06	2.05982857142857e-05
CX5	SBS72	-0.03019	0.1886	0.2668
CX5	SBS73	-0.001661	0.9423	0.9568
CX5	SBS74	-0.0104	0.6508	0.699007407407408
CX5	SBS75	0.07343	0.001369	0.00360918181818182
CX5	SBS76	-0.02167	0.3453	0.445053333333333
CX5	SBS77	-0.01158	0.6141	0.682430188679245
CX5	SBS78	-0.03616	0.1153	0.171620512820513
CX5	SBS79	-0.01201	0.6011	0.682430188679245
CX5	SBS80	-0.102	8.536e-06	3.0943e-05
CX5	SBS81	0.16	2.357e-12	2.73412e-11
CX5	SBS82	0.01288	0.575	0.667
CX5	SBS83	NA	NA	NA
CX6	SBS1	-0.07674	0.0008203	0.00279867058823529
CX6	SBS2	0.1139	6.513e-07	6.6381e-06
CX6	SBS3	-0.1137	6.867e-07	6.6381e-06
CX6	SBS4	0.01785	0.437	0.551
CX6	SBS5	0.06155	0.007309	0.0201867619047619
CX6	SBS6	-0.0004142	0.9856	0.9879
CX6	SBS7a	0.00794	0.7296	0.846336
CX6	SBS7b	0.004546	0.8431	0.914144444444445
CX6	SBS7c	0.02308	0.3149	0.470989743589744
CX6	SBS8	-0.1002	1.23e-05	6.48545454545455e-05
CX6	SBS9	0.05396	0.01871	0.0471817391304348
CX6	SBS10a	0.02791	0.2242	0.383652941176471
CX6	SBS11	-0.02568	0.2635	0.413054054054054
CX6	SBS12	0.06247	0.006479	0.0187891
CX6	SBS13	-0.1005	1.153e-05	6.48545454545455e-05
CX6	SBS14	0.02006	0.3825	0.504204545454545
CX6	SBS15	0.02726	0.2352	0.38976
CX6	SBS16	0.1091	1.889e-06	1.369525e-05
CX6	SBS17a	0.1428	4.126e-10	7.97693333333333e-09
CX6	SBS17b	0.08719	0.0001428	0.00055216
CX6	SBS18	0.06892	0.002665	0.00813526315789474
CX6	SBS19	0.1336	5.108e-09	7.4066e-08
CX6	SBS21	0.02172	0.3443	0.479328571428571
CX6	SBS22	0.01424	0.5351	0.646579166666667
CX6	SBS26	0.01597	0.4868	0.600731914893617
CX6	SBS28	-0.05865	0.0106	0.0279454545454545
CX6	SBS30	0.08089	0.0004198	0.001521775
CX6	SBS33	0.02024	0.3781	0.504204545454545
CX6	SBS35	0.03215	0.1614	0.334328571428571
CX6	SBS36	-0.006657	0.7719	0.877847058823529
CX6	SBS37	-0.1045	5.029e-06	3.24091111111111e-05
CX6	SBS38	-0.02299	0.3167	0.470989743589744
CX6	SBS39	-0.1717	4.941e-14	1.43289e-12
CX6	SBS40	0.0352	0.1253	0.290669230769231
CX6	SBS60	NA	NA	NA
CX6	SBS55	-0.0285	0.2146	0.383652941176471
CX6	SBS44	0.01261	0.583	0.690081632653061
CX6	SBS61	0.02787	0.2249	0.383652941176471
CX6	SBS62	0.02791	0.2242	0.383652941176471
CX6	SBS63	0.03474	0.1303	0.290669230769231
CX6	SBS64	-0.01943	0.3976	0.512462222222222
CX6	SBS65	-0.004311	0.8511	0.914144444444445
CX6	SBS66	0.0279	0.2244	0.383652941176471
CX6	SBS67	0.03381	0.1409	0.302674074074074
CX6	SBS68	0.1776	6.579e-15	3.81582e-13
CX6	SBS69	-0.1091	1.883e-06	1.369525e-05
CX6	SBS70	0.03514	0.1259	0.290669230769231
CX6	SBS71	-0.09402	4.087e-05	0.000182343076923077
CX6	SBS72	0.02235	0.3305	0.479225
CX6	SBS73	-0.002032	0.9295	0.962696428571429
CX6	SBS74	0.003138	0.8913	0.939916363636364
CX6	SBS75	0.0003495	0.9879	0.9879
CX6	SBS76	0.02653	0.248	0.399555555555556
CX6	SBS77	0.09962	1.374e-05	6.641e-05
CX6	SBS78	0.02787	0.2249	0.383652941176471
CX6	SBS79	0.005852	0.7989	0.891080769230769
CX6	SBS80	-0.08751	0.0001348	0.00055216
CX6	SBS81	-0.07595	0.0009275	0.00298861111111111
CX6	SBS82	0.0216	0.3471	0.479328571428571
CX6	SBS83	NA	NA	NA
CX7	SBS1	0.02455	0.285	0.57
CX7	SBS2	-0.06834	0.002892	0.020967
CX7	SBS3	-0.02674	0.2442	0.553071428571429
CX7	SBS4	-0.03418	0.1366	0.360127272727273
CX7	SBS5	-0.0665	0.00375	0.0237626
CX7	SBS6	0.06586	0.004097	0.0237626
CX7	SBS7a	0.05589	0.01489	0.0616871428571429
CX7	SBS7b	0.06271	0.006275	0.0303291666666667
CX7	SBS7c	0.06025	0.008649	0.0385878461538462
CX7	SBS8	-0.01953	0.3951	0.718347058823529
CX7	SBS9	-0.04235	0.06507	0.222003529411765
CX7	SBS10a	-0.01108	0.6294	0.810486956521739
CX7	SBS11	0.01416	0.5376	0.810486956521739
CX7	SBS12	-0.007241	0.7526	0.911584905660377
CX7	SBS13	0.0314	0.1716	0.432730434782609
CX7	SBS14	0.000563	0.9804	0.9804
CX7	SBS15	0.005757	0.8021	0.911584905660377
CX7	SBS16	-0.07309	0.001441	0.0167156
CX7	SBS17a	-0.001815	0.937	0.953438596491228
CX7	SBS17b	-0.004844	0.833	0.911584905660377
CX7	SBS18	-0.03722	0.105	0.29
CX7	SBS19	-0.001932	0.933	0.953438596491228
CX7	SBS21	0.006834	0.7661	0.911584905660377
CX7	SBS22	-0.02588	0.2597	0.553071428571429
CX7	SBS26	0.01135	0.6212	0.810486956521739
CX7	SBS28	-0.003817	0.868	0.932296296296296
CX7	SBS30	-0.05316	0.02055	0.07946
CX7	SBS33	-0.02708	0.2383	0.553071428571429
CX7	SBS35	-0.01292	0.5736	0.810486956521739
CX7	SBS36	0.0769	0.0007998	0.0167156
CX7	SBS37	-0.02563	0.2643	0.553071428571429
CX7	SBS38	0.06956	0.002427	0.0201094285714286
CX7	SBS39	0.07402	0.00125	0.0167156
CX7	SBS40	-0.03891	0.09012	0.275103157894737
CX7	SBS60	NA	NA	NA
CX7	SBS55	0.06322	0.005863	0.0303291666666667
CX7	SBS44	0.0112	0.6258	0.810486956521739
CX7	SBS61	-0.01105	0.6305	0.810486956521739
CX7	SBS62	-0.01108	0.6294	0.810486956521739
CX7	SBS63	-0.00516	0.8223	0.911584905660377
CX7	SBS64	0.0157	0.4942	0.810486956521739
CX7	SBS65	0.07106	0.001951	0.0188596666666667
CX7	SBS66	-0.01102	0.6315	0.810486956521739
CX7	SBS67	0.03925	0.08739	0.275103157894737
CX7	SBS68	-0.04423	0.05401	0.19578625
