CSsig	SBSsig	Spearman	pVal	pAdj
CX7	ID4	0.008787	0.702	0.9998
CX7	ID5	-0.007593	0.7409	0.9998
CX7	ID6	3.959e-05	0.9986	0.9998
CX7	ID7	0.06198	0.006909	0.0333935
CX7	ID8	0.002382	0.9174	0.9998
CX7	ID9	0.07124	0.001899	0.0284393333333333
CX7	ID10	0.01156	0.6147	0.9998
CX7	ID11	-0.04486	0.05067	0.18367875
CX7	ID12	0.004521	0.8439	0.9998
CX7	ID13	0.06822	0.002942	0.0284393333333333
CX7	ID14	0.02331	0.3101	0.817536363636364
CX7	ID18	-5.019e-06	0.9998	0.9998
CX7	ID19	0.07005	0.002262	0.0284393333333333
CX7	ID20	0.004772	0.8354	0.9998
CX7	ID21	-0.009481	0.6798	0.9998
CX7	ID22	0.01138	0.6202	0.9998
CX7	ID23	0.0113	0.6227	0.9998
CX7	ID24	4.077e-05	0.9986	0.9998
CX7	ID25	0.004747	0.8363	0.9998
CX7	ID26	0.004527	0.8438	0.9998
CX7	ID27	0.004753	0.8361	0.9998
CX7	ID28	6.226e-06	0.9998	0.9998
CX7	ID29	0.06576	0.004155	0.03012375
CX7	ID30	0.004792	0.8347	0.9998
CX7	ID31	0.0296	0.1974	0.636066666666667
CX7	ID32	0.06391	0.005344	0.0309952
CX8	ID1	0.04157	0.07022	0.0925627272727273
CX8	ID2	0.05957	0.009436	0.0130306666666667
CX8	ID3	0.07322	0.001412	0.00584971428571429
CX8	ID4	0.109	1.93e-06	1.39925e-05
CX8	ID5	0.07827	0.0006423	0.00310445
CX8	ID6	0.1306	1.139e-08	1.65155e-07
CX8	ID7	0.001726	0.9401	0.9401
CX8	ID8	0.08474	0.000219	0.0012702
CX8	ID9	0.03095	0.1777	0.206132
CX8	ID10	0.134	4.556e-09	1.32124e-07
CX8	ID11	0.06938	0.002493	0.00688090909090909
CX8	ID12	-0.02611	0.2556	0.285092307692308
CX8	ID13	0.03212	0.1619	0.195629166666667
CX8	ID14	0.1134	7.346e-07	7.10113333333333e-06
CX8	ID18	-0.06906	0.00261	0.00688090909090909
CX8	ID19	0.034	0.1387	0.174882608695652
CX8	ID20	-0.06218	0.006734	0.0115112941176471
CX8	ID21	-0.06684	0.003579	0.00864925
CX8	ID22	-0.05974	0.009236	0.0130306666666667
CX8	ID23	-0.05969	0.009292	0.0130306666666667
CX8	ID24	-0.06907	0.002607	0.00688090909090909
CX8	ID25	-0.0622	0.006714	0.0115112941176471
CX8	ID26	-0.06216	0.006748	0.0115112941176471
