Sig	Driver	Estimate	StdError	t	pVal	pAdj	Significant
CX8	AKT1	0.593140592905584	0.593140592905584	6.5828648350085	4.9868444615497e-11	1.41293926410575e-10	TRUE
CX8	PIK3R2	0.730723332498598	0.730723332498598	7.7382989962574	1.16602140916054e-14	7.20813234753788e-14	TRUE
CX8	PPP2R1A	0.408659603517884	0.408659603517884	5.15979632961617	2.54778585545098e-07	4.55919574133333e-07	TRUE
CX8	PMS1	0.709827888847893	0.709827888847893	8.12060946324753	5.53394813736463e-16	4.18120525934216e-15	TRUE
CX8	RAC1	0.45268092620916	0.45268092620916	6.95171991271973	3.97209896800732e-12	1.35051364912249e-11	TRUE
CX8	SPOP	0.406744266952759	0.406744266952759	5.68423374379391	1.37284437386811e-08	2.91729429446973e-08	TRUE
CX8	PCBP1	0.882558091940026	0.882558091940026	10.2496113147226	1.84734861984875e-24	2.5123941229943e-23	TRUE
CX8	CDK4	0.448085501226623	0.448085501226623	6.24388325122484	4.54643761991921e-10	1.10413485055181e-09	TRUE
CX8	MYC	0.442815786799264	0.442815786799264	7.14827695868477	9.78019388585501e-13	3.50027991704285e-12	TRUE
CX8	U2AF1	0.912541787516373	0.912541787516373	8.94386648188392	4.86407248815918e-19	5.5126154865804e-18	TRUE
CX9	ERBB2	0.456299827930731	0.456299827930731	8.06129865741236	8.96111550266898e-16	6.09355854181491e-15	TRUE
CX9	CCND1	0.428372998924362	0.428372998924362	7.59690853744726	3.47429280050476e-14	1.81732238795634e-13	TRUE
CX9	CDK4	1.23715738340884	1.23715738340884	17.6977970650339	1.93390665610571e-68	6.57528263075941e-67	TRUE
CX10	ERBB2	0.331383441784819	0.331383441784819	5.90042961877806	3.81387997856633e-09	8.64479461808368e-09	TRUE
CX10	PPP2R1A	0.118073804858568	0.118073804858568	1.51085444149842	0.130875685810963	0.139055416174148	FALSE
CX10	CDK4	0.509155382198732	0.509155382198732	7.21148703016733	6.18286295790743e-13	2.33574822854281e-12	TRUE
CX10	FBXW7	0.332993721255453	0.332993721255453	4.60848913609086	4.1359665703746e-06	6.39194833603347e-06	TRUE
CX11	CDK4	0.987692015719577	0.987692015719577	13.9477990403559	1.43472645487173e-43	3.25204663104259e-42	TRUE
CX13	CDK4	2.01576052721993	2.01576052721993	30.486240789866	1.56255468702339e-190	1.06253718717591e-188	TRUE
CX14	CIC	0.442799347044924	0.442799347044924	4.44754331754879	8.83498930094334e-06	1.22608014788601e-05	TRUE
CX17	PMS1	0.512674935105097	0.512674935105097	5.72033043861851	1.11198899874253e-08	2.43920167466103e-08	TRUE
CX17	U2AF1	0.778501938967559	0.778501938967559	7.44689336700203	1.08358968925226e-13	5.17969703725985e-13	TRUE
