CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-04-1654	2.4	31.08	57.78	0	0	0	0	1.942	0	3.607	0.616	1.101	0	0	0	1.334	0
TCGA-04-1655	3.793	31.07	25.32	16.45	5.759	4.378	5.45	6.629	0	0	0	0	0.3562	0	14.05	0	0
TCGA-05-4244	3.788	0	29.8	17.55	5.081	4.498	1.138	18.97	0	0	0	0.3591	4.066	0	9.921	0	0
TCGA-05-4249	5.245	6.619	2.381	18.48	0	6.576	0	4.119	0	0	0	0	0	0	7.304	0.5595	0
TCGA-05-4250	4.904	21.82	4.04	9.542	4.366	4.503	0	14.88	0	0	0.5019	0.4622	0.1493	3.313	6.579	0	11.03
TCGA-05-4389	2.878	37.44	40.67	19.83	8.555	2.454	8.774	3.741	0	0	0	0.4332	0	0	0	0	36.85
TCGA-05-4390	2.835	33.08	46.28	30.61	8.91	2.773	0	6.978	9.691	0	0	0	0.5464	0	0	0.7517	0
TCGA-05-4395	4.103	24.4	22.41	14.99	4.431	3.177	7.124	0	7.197	5.717	0.3113	0	0	0	0	1.351	0
TCGA-05-4396	4.57	32.9	8.041	2.185	4.917	4.707	9.689	12.32	0	4.451	0	0	0.9604	0	16.04	0.9911	0
TCGA-05-4397	2.803	0	46.42	72.84	4.044	2.373	0	0	0	0	0	0.5933	0.6465	0	11.91	0	0
TCGA-05-4402	4.678	0.8584	11.57	20.42	3.623	2.534	1.45	3.004	0	0	0	0	3.304	6.716	8.569	0	6.932
TCGA-05-4415	4.698	17.98	4.502	41.71	8.113	4.962	0	8.278	0	0	0	0.2695	0	0	18.87	0	0
TCGA-05-4418	5.114	11.84	6.312	1.491	0.2737	5.006	12.86	0	0	0	0.303	0.4048	0	0	2.669	0	0
TCGA-05-4420	1.907	54.54	59.92	35.36	13.44	0	3.949	0	10.02	0	0	0.1504	0	0	0	2.526	0
TCGA-05-4422	4.981	40.01	0	13.08	12.22	0.7294	1.669	26.57	0	2.862	0	1.319	3.146	0	0	0	0
TCGA-05-4425	5.516	7.617	0	1.289	0	1.352	0	0	0	0	0	0	0	1.654	0	0	0
