Sample	Rearrangement Signature1	Rearrangement Signature2	Rearrangement Signature3	Rearrangement Signature4	Rearrangement Signature5	Rearrangement Signature6
PD5930	4	10	97	5	20	4
PD5932	46	36	167	3	55	13
PD5934	89	52	231	4	66	11
PD5935	87	61	122	0	60	5
PD5936	0	17	1	28	6	79
PD5937	2	3	2	0	2	0
PD5942	9	46	4	10	25	67
PD5944	10	11	0	0	3	1
PD5945	21	63	251	0	94	6
PD5946	2	24	1	240	3	133
PD5947	8	16	2	42	6	76
PD5948	41	95	164	27	107	55
PD5950	7	34	0	11	162	15
PD5951	8	30	2	11	2	63
PD5953	0	9	3	0	7	1
PD5956	181	3	118	38	156	196
PD5959	0	43	5	133	2	126
PD5960	0	23	4	0	32	3
PD5961	3	56	0	24	1	19
PD5964	5	2	1	41	5	15
PD6016	0	1	0	0	0	0
PD6041	0	2	0	0	0	0
PD6042	9	89	1	8	20	35
PD6043	44	16	53	0	95	8
PD6044	2	17	2	23	4	13
PD6045	0	2	1	7	0	23
PD6046	3	46	2	34	6	121
PD6047	20	36	3	32	15	37
PD6048	11	36	8	87	13	187
PD6404	21	57	1	11	17	32
PD6405	10	59	6	51	28	59
PD6406	22	41	96	0	25	2
PD6409	36	37	39	1	39	10
PD6410	7	26	121	3	25	11
PD6411	34	48	53	0	47	4
PD6412	6	25	3	0	44	4
PD6413	17	16	254	0	32	1
PD6414	2	3	1	0	1	0
PD6415	42	64	168	20	62	7
PD6416	0	26	0	6	13	26
PD6417	2	48	2	57	1	27
PD6418	1	1	0	0	0	0
PD6422	21	128	4	81	42	84
PD6466	0	18	2	22	1	17
PD6684	16	51	144	0	78	7
PD6711	0	10	0	1	0	9
PD6719	6	51	1	19	6	25
PD6720	6	40	0	13	2	12
PD6721	0	16	0	6	1	22
PD6722	26	20	104	0	43	3
PD6727	23	63	8	67	26	84
PD6728	55	14	6	14	7	19
PD6729	4	25	4	20	40	27
PD6730	12	15	3	3	41	24
PD6731	14	25	29	0	28	3
PD6732	29	64	9	49	11	17
PD6733	7	38	0	2	24	21
PD7066	268	37	2	0	10	4
PD7067	7	78	2	124	7	7
PD7069	3	49	2	11	7	71
PD7199	4	7	1	7	1	49
PD7201	2	1	0	1	0	8
PD7202	5	137	8	114	14	174
PD7203	2	54	3	68	6	43
PD7204	0	4	2	29	0	9
PD7205	13	84	9	272	24	116
PD7206	7	33	1	53	4	29
PD7207	0	0	0	1	0	5
PD7209	0	0	1	0	0	0
PD7210	0	1	0	0	0	0
PD7211	25	24	458	8	70	19
PD7214	0	15	0	0	0	0
PD7215	36	8	165	3	21	26
PD7217	2	39	0	3	66	14
PD7218	0	1	0	0	0	0
PD7219	17	9	2	5	4	33
PD7220	2	10	1	2	11	14
PD7221	1	6	0	0	2	0
PD7238	3	21	1	15	2	3
PD7240	2	76	3	19	22	27
PD7243	18	27	1	55	7	95
PD7248	59	69	138	4	90	7
PD7249	18	33	3	56	10	61
PD7250	11	64	169	6	81	13
PD7304	40	66	0	20	3	25
PD7305	11	28	2	144	4	140
PD7306	7	40	5	157	26	175
PD7307	14	60	4	110	12	127
PD7316	33	53	60	0	37	4
PD7321	18	37	344	0	50	3
PD7322	2	17	0	30	1	20
PD7341	5	67	3	71	11	87
PD7344	4	13	0	3	12	5
PD7426	86	85	224	2	75	13
PD7428	11	41	292	0	39	3
PD8609	1	19	2	21	5	12
PD8610	4	35	1	9	56	36
PD8611	52	52	233	0	74	5
PD8612	23	9	0	1	1	9
PD8614	1	6	0	5	0	5
PD8615	5	20	0	25	1	25
PD8617	1	34	0	2	4	17
PD8618	0	6	0	0	1	0
PD8619	20	34	4	69	12	109
PD8620	0	1	0	0	1	0
PD8621	19	18	179	0	51	4
PD8622	0	21	0	4	5	19
PD8623	0	24	0	0	5	1
PD8652	35	42	195	0	107	8
PD8660	92	173	19	129	138	39
PD8828	0	10	0	0	1	0
PD8830	13	18	1	25	47	24
PD8832	11	141	67	22	105	31
PD8964	9	64	3	3	150	18
PD8965	27	62	2	1	3	10
PD8969	6	82	2	0	31	4
PD8973	0	16	1	8	4	54
PD8977	2	16	1	6	2	6
PD8978	7	30	2	3	75	16
PD8979	13	193	11	336	10	179
PD8980	16	176	94	62	61	136
PD8981	2	23	2	67	4	74
PD8982	175	112	24	37	82	82
PD8984	26	50	6	0	73	8
PD8995	3	25	1	17	10	61
PD8996	2	55	2	28	2	112
PD8997	0	112	3	115	12	96
PD8998	7	35	1	30	6	16
PD8999	4	12	1	45	4	19
PD9000	15	77	2	1	98	15
PD9001	0	5	0	18	1	13
PD9002	5	32	4	54	11	52
PD9004	3	109	76	6	79	11
PD9009	2	30	1	7	6	46
PD9063	0	17	1	44	9	13
PD9064	36	33	287	0	70	3
PD9065	5	10	0	12	0	1
PD9067	1	8	0	0	0	0
PD9193	2	2	3	107	1	191
PD9464	36	85	3	48	21	156
PD9467	3	0	0	6	2	22
PD9539	8	37	1	101	11	64
PD9541	1	23	1	2	2	15
PD9544	0	1	1	0	0	0
PD9567	0	37	1	33	10	37
PD9568	23	37	26	1	113	15
PD9569	10	29	1	4	6	14
PD9570	0	2	0	0	0	0
PD9571	112	53	10	29	50	62
PD9572	1	7	0	3	1	5
PD9573	2	8	0	11	1	18
PD9574	0	1	1	7	0	12
PD9575	34	23	16	0	22	3
PD9576	29	149	198	19	94	22
PD9577	0	43	1	2	3	11
PD9578	0	2	0	0	0	0
PD9579	6	13	0	14	2	12
PD9582	2	30	2	149	2	60
PD9584	13	1	2	17	3	110
PD9585	2	73	389	8	54	7
PD9589	3	7	2	0	4	1
PD9591	0	5	0	5	0	5
PD9592	31	35	53	0	100	9
PD9593	0	11	1	6	1	4
PD9595	14	37	101	11	46	14
PD9597	0	2	0	6	1	4
PD9599	14	54	2	23	10	28
PD9600	15	19	0	0	3	1
PD9604	40	21	0	4	40	14
PD9605	11	16	0	4	9	21
PD9694	2	8	1	15	4	21
PD9696	42	35	201	0	51	3
PD9702	189	38	196	0	45	1
PD9752	7	87	3	51	15	131
PD9754	4	4	1	10	4	23
PD9755	0	0	1	20	2	36
PD9756	6	2	0	22	4	18
PD9759	4	22	0	9	8	11
PD9760	4	43	1	15	8	70
PD9761	1	1	0	0	0	0
PD9842	0	0	0	0	1	0
PD9845	0	7	0	9	2	11
PD9847	2	1	1	0	0	0
