"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX5"	"POLE2"	"0.128834806960382"	"1.35626502582102e-20"	7.74201285572832e-20
"CX5"	"MSH3"	"-0.12420349344477"	"3.05803339534443e-19"	1.71000234760076e-18
"CX5"	"POLR2K"	"0.123179426244564"	"5.99641585769986e-19"	3.28603589001952e-18
"CX5"	"XRCC3"	"0.123110553028364"	"6.27296414612222e-19"	3.37018073732841e-18
"CX5"	"RFC5"	"0.121971960623789"	"1.31699506168357e-18"	6.93955090194804e-18
"CX5"	"NEIL1"	"-0.121390178932415"	"1.91871231959349e-18"	9.91938067110597e-18
"CX5"	"XPC"	"-0.121329071537011"	"1.99585819761735e-18"	1.01271323360584e-17
"CX5"	"ATM"	"-0.121113529885625"	"2.29322435649718e-18"	1.1424426794186e-17
"CX5"	"RUVBL1"	"0.118799241098382"	"1.00296700789903e-17"	4.90737428864883e-17
"CX5"	"FANCM"	"0.118110930354584"	"1.54700042955614e-17"	7.43645820523478e-17
"CX5"	"NEIL2"	"-0.117913823145134"	"1.75058518562377e-17"	8.27000587691229e-17
"CX5"	"FANCE"	"0.116487870202006"	"4.25542437755101e-17"	1.97624793126945e-16
"CX5"	"FAAP24"	"0.115636622883777"	"7.19431247836464e-17"	3.28540269845319e-16
"CX5"	"DTL"	"0.113222991338831"	"3.1225006102337e-16"	1.39725167555796e-15
"CX5"	"SIRT6"	"-0.113202276754411"	"3.16166437535012e-16"	1.39725167555796e-15
"CX5"	"USP1"	"0.110361611801357"	"1.70961857287913e-15"	7.43548395188701e-15
"CX5"	"GPS1"	"0.108681681502468"	"4.54620872323299e-15"	1.94634560963412e-14
"CX5"	"POLM"	"-0.107057025277239"	"1.15416150659487e-14"	4.86523465856914e-14
"CX5"	"NFRKB"	"-0.107006664194451"	"1.18771504463219e-14"	4.93081700347303e-14
"CX5"	"RHNO1"	"0.106057867744267"	"2.03283371575312e-14"	8.31337967337843e-14
"CX5"	"POLR2B"	"0.104844202206742"	"4.01460353900214e-14"	1.61764907306851e-13
"CX5"	"DCLRE1B"	"0.103964845970537"	"8.43531601264391e-14"	3.34967621371657e-13
"CX5"	"RPA1"	"0.103059368521553"	"1.07684628166862e-13"	4.21508401681717e-13
"CX5"	"FANCA"	"0.101629996563475"	"2.3446668521925e-13"	8.92275996528813e-13
"CX5"	"PARP1"	"0.101647998635443"	"2.32195670750728e-13"	8.92275996528813e-13
"CX5"	"SPRTN"	"0.0990676130708496"	"9.20915965845746e-13"	3.45658869372239e-12
"CX5"	"GTF2H4"	"0.0983670431737917"	"1.33064026849144e-12"	4.92696531846831e-12
"CX5"	"TERF2IP"	"-0.0981148217886235"	"1.51821732423012e-12"	5.54655395785404e-12
"CX5"	"PCLAF"	"0.0951772160926171"	"6.88268092407435e-12"	2.48138759631102e-11
"CX5"	"DCLRE1C"	"0.0950974538884993"	"7.16651591259363e-12"	2.55016280526059e-11
"CX5"	"FEN1"	"0.0940216259609409"	"1.23202523949823e-11"	4.32788353362199e-11
"CX5"	"TOP3A"	"0.0910280973313551"	"5.39022537742996e-11"	1.86952120685545e-10
"CX5"	"MUTYH"	"0.0905237598046245"	"6.88027632457145e-11"	2.35649464116572e-10
"CX5"	"CDK7"	"-0.0900074581516814"	"8.82114837717361e-11"	2.98394401894515e-10
"CX5"	"LIG3"	"0.0897237757333263"	"1.01056821678258e-10"	3.37677672437106e-10
"CX5"	"EYA4"	"0.088257770862801"	"2.02667406418608e-10"	6.69046618779501e-10
"CX5"	"POLR2L"	"-0.0877470220405688"	"2.57595820439654e-10"	8.40253033338871e-10
"CX5"	"ERCC3"	"0.0875014804544827"	"2.88936375159785e-10"	9.31394903456248e-10
"CX5"	"POLE"	"0.0873250784073767"	"3.13719422374093e-10"	9.99524671284901e-10
"CX5"	"TDP1"	"0.0859795803016814"	"5.8457346673784e-10"	1.8410704584617e-09
"CX5"	"RAD9A"	"0.0859524569134691"	"5.91896961136107e-10"	1.84295190171924e-09
"CX5"	"FTO"	"-0.0851913807051567"	"8.38093170194951e-10"	2.58019695093726e-09
"CX5"	"UBE2B"	"-0.0843372532712931"	"1.23383801166646e-09"	3.75635127996233e-09
"CX5"	"POLL"	"-0.0830184000548725"	"2.22536579443259e-09"	6.70055195246736e-09
"CX5"	"ERCC1"	"-0.0824142886997601"	"2.90689393537718e-09"	8.6574884597103e-09
"CX5"	"UNG"	"0.0813594020001031"	"4.61399344213175e-09"	1.35939161628398e-08
"CX5"	"HMGN1"	"0.0812420775898884"	"4.85555932805664e-09"	1.41534388924204e-08
"CX5"	"FANCC"	"0.0803369662900156"	"7.18089894367694e-09"	2.0711224321763e-08
"CX5"	"SUMO2"	"0.0787832912325287"	"1.39195831271111e-08"	3.97288101752963e-08
"CX5"	"RNF8"	"0.0783349169811468"	"1.68104641376404e-08"	4.74852285949842e-08
"CX5"	"TIPIN"	"0.0775625045686072"	"2.32118811820764e-08"	6.48985249376422e-08
"CX5"	"PIAS3"	"-0.0821759800878816"	"2.51455230495595e-08"	6.95946799553465e-08
"CX5"	"RAD17"	"-0.0769650045666644"	"2.97301688881573e-08"	8.1460662753551e-08
"CX5"	"CHEK1"	"0.0764434570746196"	"3.68444242897283e-08"	9.99541807463916e-08
"CX5"	"RIF1"	"0.0759505737567301"	"4.50681253282799e-08"	1.21065356274007e-07
"CX5"	"TDG"	"0.0755057301934067"	"5.3997744100332e-08"	1.43644484305738e-07
"CX5"	"TERF1"	"0.0754034677206229"	"5.62808682833847e-08"	1.48278441438917e-07
"CX5"	"MGMT"	"-0.0747781109081074"	"7.24167124995394e-08"	1.88973135474989e-07
"CX5"	"POLR2H"	"0.0740650192311763"	"9.62979650273741e-08"	2.4892115488208e-07
"CX5"	"KDM4B"	"-0.0736912038338863"	"1.11700053581768e-07"	2.86035651228079e-07
"CX5"	"POLI"	"-0.0736402054594189"	"1.13977779592105e-07"	2.89165848224415e-07
"CX5"	"UFD1"	"0.0732886796635144"	"1.52188929936336e-07"	3.82566667913358e-07
"CX5"	"TCEA1"	"0.0728059870204794"	"1.58273190390105e-07"	3.94244128789898e-07
"CX5"	"RAD50"	"-0.0722890694873949"	"1.93636470347039e-07"	4.77985521397195e-07
"CX5"	"FANCG"	"0.0727253995079217"	"1.97916175251052e-07"	4.84187785882038e-07
"CX5"	"RMI1"	"0.0724236516316343"	"2.21702768680212e-07"	5.37580164764408e-07
"CX5"	"TRIM25"	"0.0713848292140804"	"2.74642831549905e-07"	6.60106454777842e-07
"CX5"	"EYA3"	"0.0710840322541232"	"3.08217841381032e-07"	7.28031797744851e-07
"CX5"	"KDM4A"	"0.071104255259045"	"3.05841528879544e-07"	7.28031797744851e-07
"CX5"	"RFC2"	"0.0696697502685463"	"5.26852425965758e-07"	1.23382533944118e-06
"CX5"	"POLR2E"	"-0.0692696489357549"	"6.12006546624961e-07"	1.42109994724779e-06
"CX5"	"ABRAXAS1"	"-0.0689388714333136"	"6.92281501982579e-07"	1.58070942952689e-06
"CX5"	"LIG1"	"0.0689574429928522"	"6.87517653700032e-07"	1.58070942952689e-06
"CX5"	"ACTR5"	"0.0700358892213114"	"7.20902033972656e-07"	1.63245584552486e-06
"CX5"	"ISY1"	"0.0700340117875261"	"8.23776039193584e-07"	1.85011995687739e-06
"CX5"	"POLN"	"-0.0672328719073086"	"1.2957519980635e-06"	2.88647193064552e-06
"CX5"	"CENPS"	"0.067874419424641"	"1.7768291401886e-06"	3.92621922912642e-06
"CX5"	"XAB2"	"-0.0652240778390462"	"2.65996333261651e-06"	5.83063962509539e-06
"CX5"	"POLD1"	"0.0643953684599635"	"3.55757440326275e-06"	7.73631259122217e-06
"CX5"	"COPS2"	"-0.0637352203432686"	"4.47373448709476e-06"	9.65199409026743e-06
"CX5"	"PPP5C"	"0.0624793352947372"	"6.87637662913077e-06"	1.47197437217331e-05
"CX5"	"COPS4"	"-0.0621264432457529"	"7.74813328587683e-06"	1.62159124606889e-05
"CX5"	"GTF2H1"	"-0.0621306675679114"	"7.73709924668496e-06"	1.62159124606889e-05
"CX5"	"LIG4"	"-0.0621246341624751"	"7.75286325675272e-06"	1.62159124606889e-05
"CX5"	"POLD4"	"-0.0618644341691992"	"8.46269074284929e-06"	1.75664944207629e-05
"CX5"	"INO80D"	"-0.0615998827411183"	"9.24782348772477e-06"	1.90519070348616e-05
