"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX2"	"RNF8"	"0.0468644407201286"	"0.00074618520067458"	0.00204454744984835
"CX2"	"COPS7B"	"0.0467697344015271"	"0.0007648818511144"	0.00207502601193411
"CX2"	"EYA1"	"-0.0467146624433738"	"0.000775953002515447"	0.00208442277146306
"CX2"	"RFC3"	"0.0465497961116648"	"0.000809991499432652"	0.00215473466839366
"CX2"	"ERCC8"	"-0.0464239239549556"	"0.000836906042674024"	0.00220492553550656
"CX2"	"POLD1"	"0.0455774525848048"	"0.00104056857798925"	0.00271538847970528
"CX2"	"SUMO1"	"0.0451185058490543"	"0.00116929272510629"	0.00302251138376532
"CX2"	"RNF111"	"-0.0449862395782396"	"0.00120903327586639"	0.00309602913633076
"CX2"	"RUVBL1"	"0.0447224443806942"	"0.00129204242886474"	0.00327795949545314
"CX2"	"PARP1"	"0.0446093860936502"	"0.00132920332258193"	0.0033413000952977
"CX2"	"HMGN1"	"0.044404746168969"	"0.00139898370761281"	0.00348474123532645
"CX2"	"RBBP8"	"-0.0440400577147799"	"0.00153177035247993"	0.00377612584314241
"CX2"	"USP43"	"-0.0440091909599461"	"0.00154352589208741"	0.00377612584314241
"CX2"	"GTF2H1"	"-0.0439458685501274"	"0.00156790250612166"	0.0038018166962596
"CX2"	"DCLRE1C"	"0.0436108418437007"	"0.00170287530267889"	0.00409287572749137
"CX2"	"EYA2"	"0.0435739775669017"	"0.00171836180969895"	0.00409418379006532
"CX2"	"XRCC4"	"-0.0432786081620941"	"0.00184719946479042"	0.00436321252890151
"CX2"	"COPS8"	"0.0425016210056661"	"0.00222963302411014"	0.00522153374877076
"CX2"	"EYA3"	"0.0421827089840131"	"0.00240661800158641"	0.00558824857995488
"CX2"	"OGG1"	"0.0421194572694004"	"0.00244321282922459"	0.00562554886729023
"CX2"	"UIMC1"	"-0.0420320183460413"	"0.00249463993607828"	0.00569609452071207
"CX2"	"POLL"	"-0.0417126360426254"	"0.00269100925924698"	0.00609369038870804
"CX2"	"CCNA1"	"-0.0416777360751957"	"0.00271330179472941"	0.00609380894881851
"CX2"	"GTF2H2"	"-0.0409770821414892"	"0.00319807179236523"	0.00712415992770791
"CX2"	"COPS5"	"0.0402437408526381"	"0.00378884820389902"	0.0083721323215188
"CX2"	"CHEK1"	"0.0401750197221239"	"0.00384900392042517"	0.00843701659357197
"CX2"	"POLR2I"	"0.0393060549432567"	"0.00468815800031326"	0.0101948832705225
"CX2"	"TFPT"	"0.0390109367785507"	"0.00500879968638528"	0.0108063867249572
"CX2"	"PALB2"	"-0.0386849687555178"	"0.00538589157265085"	0.0115291741477057
"CX2"	"RPA2"	"0.0385506783772391"	"0.00554856040972646"	0.0117853143586438
"CX2"	"PARP2"	"0.0382098757791461"	"0.00598146038740363"	0.0125144333882984
"CX2"	"POLR2G"	"0.0382085684501957"	"0.00598317800681422"	0.0125144333882984
"CX2"	"SUMO3"	"0.0379077719882082"	"0.00639039135142882"	0.0132649032597841
"CX2"	"PPP4C"	"0.0367631037804788"	"0.00817768415583274"	0.0168472590879562
"CX2"	"TP53BP1"	"-0.0365549484191275"	"0.00854702910856527"	0.0174767610130364
"CX2"	"RBX1"	"-0.0365114938009002"	"0.00862598936703642"	0.0175075636042073
"CX2"	"TCEA1"	"0.0360627003245088"	"0.00948041761675842"	0.0191002531396456
